Attacked Unit@34f11bb2at position 476, 139 at time 1607794423042
Got attacked at 389, 67 by Unit@3c6ba7de at time 1607794423046
Attacked Unit@51faaafbat position 493, 117 at time 1607794424711
Got attacked at 389, 67 by Unit@34f11bb2 at time 1607794424715
Attacked Unit@3c6ba7deat position 504, 140 at time 1607794426399
Moved to 390, 68 at time 1607794426466
Moved to 391, 69 at time 1607794426500
Moved to 392, 70 at time 1607794426534
Moved to 393, 71 at time 1607794426569
Moved to 394, 72 at time 1607794426605
Moved to 395, 73 at time 1607794426639
Moved to 396, 74 at time 1607794426673
Moved to 397, 75 at time 1607794426708
Moved to 398, 76 at time 1607794426742
Moved to 399, 77 at time 1607794426776
Moved to 400, 78 at time 1607794426810
Moved to 401, 79 at time 1607794426844
Moved to 402, 80 at time 1607794426879
Moved to 403, 81 at time 1607794426913
Moved to 404, 82 at time 1607794426947
Moved to 405, 83 at time 1607794426981
Moved to 406, 84 at time 1607794427015
Moved to 407, 85 at time 1607794427049
Moved to 408, 86 at time 1607794427083
Moved to 409, 87 at time 1607794427118
Moved to 410, 88 at time 1607794427155
Moved to 411, 89 at time 1607794427191
Moved to 412, 90 at time 1607794427227
Attacked Unit@4af00dbeat position 688, 359 at time 1607794429180
Attacked Unit@4af00dbeat position 688, 359 at time 1607794430854
Got attacked at 419, 90 by Unit@353f2085 at time 1607794431556
Got attacked at 419, 90 by Unit@54a5e583 at time 1607794432232
Attacked Unit@4af00dbeat position 688, 359 at time 1607794432532
Got attacked at 419, 90 by Unit@54a5e583 at time 1607794433901
Attacked Unit@1f13fcdbat position 688, 245 at time 1607794434205
Attacked Unit@353f2085at position 688, 173 at time 1607794435883
Got attacked at 419, 90 by Unit@1f13fcdb at time 1607794436583
Got attacked at 419, 90 by Unit@353f2085 at time 1607794436593
Died at 419, 90 at time 1607794436596
