Attacked Unit@75c59f7dat position 643, 407 at time 1607794547262
Attacked Unit@75c59f7dat position 550, 314 at time 1607794548376
Attacked Unit@75c59f7dat position 453, 217 at time 1607794549491
Attacked Unit@75c59f7dat position 367, 131 at time 1607794550606
Attacked Unit@75c59f7dat position 275, 100 at time 1607794551720
Attacked Unit@75c59f7dat position 184, 100 at time 1607794552833
Attacked Unit@75c59f7dat position 273, 194 at time 1607794553946
Attacked Unit@d2aaf76at position 266, 187 at time 1607794555059
Attacked Unit@d2aaf76at position 367, 264 at time 1607794556175
Attacked Unit@d2aaf76at position 471, 264 at time 1607794557291
Attacked Unit@d2aaf76at position 572, 264 at time 1607794558407
Attacked Unit@11a722bdat position 553, 100 at time 1607794561757
Attacked Unit@11a722bdat position 456, 100 at time 1607794562870
Attacked Unit@d2aaf76at position 586, 100 at time 1607794563984
Attacked Unit@d2aaf76at position 488, 100 at time 1607794565098
Attacked Unit@d2aaf76at position 394, 100 at time 1607794566209
Attacked Unit@11a722bdat position 293, 214 at time 1607794567324
Attacked Unit@11a722bdat position 395, 293 at time 1607794568438
Attacked Unit@11a722bdat position 495, 293 at time 1607794569555
Attacked Unit@11a722bdat position 597, 293 at time 1607794570671
Attacked Unit@4070ca6bat position 579, 453 at time 1607794571786
Attacked Unit@11a722bdat position 616, 155 at time 1607794574013
Attacked Unit@4070ca6bat position 602, 268 at time 1607794576243
Attacked Unit@4070ca6bat position 457, 123 at time 1607794578466
