Attacked Unit@75c59f7dat position 550, 314 at time 1607794548370
Attacked Unit@75c59f7dat position 453, 217 at time 1607794549486
Attacked Unit@75c59f7dat position 368, 132 at time 1607794550599
Attacked Unit@75c59f7dat position 276, 100 at time 1607794551713
Attacked Unit@75c59f7dat position 184, 100 at time 1607794552826
Attacked Unit@75c59f7dat position 272, 193 at time 1607794553941
Attacked Unit@d2aaf76at position 266, 187 at time 1607794555059
Attacked Unit@d2aaf76at position 367, 264 at time 1607794556175
Attacked Unit@d2aaf76at position 470, 264 at time 1607794557291
Attacked Unit@11a722bdat position 553, 100 at time 1607794561757
Attacked Unit@11a722bdat position 456, 100 at time 1607794562872
Attacked Unit@11a722bdat position 359, 100 at time 1607794563988
Attacked Unit@d2aaf76at position 488, 100 at time 1607794565101
Attacked Unit@d2aaf76at position 394, 100 at time 1607794566214
Attacked Unit@11a722bdat position 294, 215 at time 1607794567326
Attacked Unit@11a722bdat position 395, 293 at time 1607794568439
Attacked Unit@11a722bdat position 495, 293 at time 1607794569555
Attacked Unit@4070ca6bat position 479, 400 at time 1607794570671
Attacked Unit@4070ca6bat position 505, 171 at time 1607794577352
Attacked Unit@4070ca6bat position 457, 123 at time 1607794578464
