Attacked Unit@75c59f7dat position 454, 218 at time 1607794549483
Attacked Unit@75c59f7dat position 368, 132 at time 1607794550596
Attacked Unit@75c59f7dat position 276, 100 at time 1607794551708
Attacked Unit@75c59f7dat position 185, 100 at time 1607794552822
Attacked Unit@75c59f7dat position 272, 193 at time 1607794553934
Attacked Unit@d2aaf76at position 265, 186 at time 1607794555050
Attacked Unit@d2aaf76at position 366, 264 at time 1607794556161
Attacked Unit@d2aaf76at position 469, 264 at time 1607794557275
Attacked Unit@11a722bdat position 459, 100 at time 1607794562838
Attacked Unit@11a722bdat position 362, 100 at time 1607794563953
Attacked Unit@d2aaf76at position 491, 100 at time 1607794565066
Attacked Unit@d2aaf76at position 397, 100 at time 1607794566179
Attacked Unit@11a722bdat position 291, 212 at time 1607794567292
Attacked Unit@11a722bdat position 392, 293 at time 1607794568405
Attacked Unit@11a722bdat position 492, 293 at time 1607794569518
Attacked Unit@4070ca6bat position 475, 396 at time 1607794570630
Attacked Unit@4070ca6bat position 509, 175 at time 1607794577309
Attacked Unit@4070ca6bat position 457, 123 at time 1607794578422
