Attacked Unit@60c2fba0at position 519, 455 at time 1607794424075
Attacked Unit@10d32d47at position 573, 285 at time 1607794425191
Attacked Unit@73d72233at position 593, 113 at time 1607794426308
Attacked Unit@10d32d47at position 382, 100 at time 1607794427422
Attacked Unit@73d72233at position 405, 100 at time 1607794428539
Attacked Unit@10d32d47at position 196, 100 at time 1607794429655
Attacked Unit@161a21c2at position 249, 100 at time 1607794430771
Attacked Unit@60c2fba0at position 518, 454 at time 1607794431887
Attacked Unit@73d72233at position 333, 254 at time 1607794433001
Attacked Unit@161a21c2at position 406, 327 at time 1607794434116
Attacked Unit@7cf52d97at position 683, 481 at time 1607794435231
Attacked Unit@60c2fba0at position 328, 264 at time 1607794436345
Attacked Unit@10d32d47at position 646, 358 at time 1607794437458
Attacked Unit@10d32d47at position 551, 263 at time 1607794438572
Attacked Unit@10d32d47at position 453, 165 at time 1607794439685
Attacked Unit@7cf52d97at position 208, 100 at time 1607794440799
Attacked Unit@161a21c2at position 670, 138 at time 1607794441913
Attacked Unit@73d72233at position 517, 100 at time 1607794443026
Attacked Unit@161a21c2at position 477, 100 at time 1607794444137
Attacked Unit@161a21c2at position 381, 100 at time 1607794445250
Attacked Unit@161a21c2at position 282, 100 at time 1607794446362
Attacked Unit@161a21c2at position 184, 100 at time 1607794447476
Attacked Unit@161a21c2at position 274, 195 at time 1607794448592
Attacked Unit@4792ec3eat position 609, 430 at time 1607794449705
Attacked Unit@73d72233at position 534, 389 at time 1607794450818
Attacked Unit@73d72233at position 634, 389 at time 1607794451932
Attacked Unit@7cf52d97at position 190, 111 at time 1607794453047
