Attacked Unit@75c59f7dat position 550, 314 at time 1607794548368
Attacked Unit@75c59f7dat position 454, 218 at time 1607794549483
Attacked Unit@75c59f7dat position 368, 132 at time 1607794550597
Attacked Unit@75c59f7dat position 276, 100 at time 1607794551711
Attacked Unit@75c59f7dat position 184, 100 at time 1607794552826
Attacked Unit@75c59f7dat position 272, 193 at time 1607794553941
Attacked Unit@d2aaf76at position 266, 187 at time 1607794555060
Attacked Unit@d2aaf76at position 368, 264 at time 1607794556176
Attacked Unit@d2aaf76at position 471, 264 at time 1607794557292
Attacked Unit@d2aaf76at position 572, 264 at time 1607794558407
Attacked Unit@11a722bdat position 554, 100 at time 1607794561756
Attacked Unit@11a722bdat position 456, 100 at time 1607794562872
Attacked Unit@d2aaf76at position 586, 100 at time 1607794563984
Attacked Unit@d2aaf76at position 488, 100 at time 1607794565098
Attacked Unit@d2aaf76at position 394, 100 at time 1607794566209
Attacked Unit@11a722bdat position 293, 214 at time 1607794567324
Attacked Unit@11a722bdat position 395, 293 at time 1607794568438
Attacked Unit@11a722bdat position 495, 293 at time 1607794569554
Attacked Unit@11a722bdat position 597, 293 at time 1607794570670
Attacked Unit@4070ca6bat position 579, 453 at time 1607794571782
Attacked Unit@11a722bdat position 617, 156 at time 1607794574008
Attacked Unit@4070ca6bat position 603, 269 at time 1607794576236
Attacked Unit@4070ca6bat position 505, 171 at time 1607794577348
Attacked Unit@4070ca6bat position 457, 123 at time 1607794578460
